borough,age,date,asthma_er_count,ppt
Bronx,Ages 0-4 years,2016-04-21,16,0
Bronx,Ages 0-4 years,2016-04-22,4,0
Bronx,Ages 0-4 years,2016-04-23,7,2.3369465494686135
Bronx,Ages 0-4 years,2016-04-24,7,0.34599393310674764
Bronx,Ages 0-4 years,2016-04-25,3,0
Bronx,Ages 0-4 years,2016-04-26,4,1.2452571338049545
Bronx,Ages 0-4 years,2016-04-27,7,0.14879244760381527
Bronx,Ages 0-4 years,2016-04-28,5,0
Bronx,Ages 0-4 years,2016-04-29,5,0.495660495632987
Bronx,Ages 0-4 years,2016-04-30,6,0.9463101596856006
Bronx,Ages 0-4 years,2016-05-01,3,0.1894727464715965
Bronx,Ages 0-4 years,2016-05-02,4,6.473991770073921
Bronx,Ages 0-4 years,2016-05-03,9,15.955889888848022
Bronx,Ages 0-4 years,2016-05-04,6,3.8350404309820134
Bronx,Ages 0-4 years,2016-05-05,4,0.7202789655929036
Bronx,Ages 0-4 years,2016-05-06,7,6.041864756517324
Bronx,Ages 0-4 years,2016-05-07,2,9.301716623673848
Bronx,Ages 0-4 years,2016-05-08,6,3.3790286773869704
Bronx,Ages 0-4 years,2016-05-09,9,1.4423249483602654
Bronx,Ages 0-4 years,2016-05-10,4,0
Bronx,Ages 0-4 years,2016-05-11,3,0.009070461185468445
Bronx,Ages 0-4 years,2016-05-12,15,0
Bronx,Ages 0-4 years,2016-05-13,14,0.007099468300581933
Bronx,Ages 0-4 years,2016-05-14,4,6.895165795725473
Bronx,Ages 0-4 years,2016-05-15,2,0.14965055340645594
Bronx,Ages 0-4 years,2016-05-16,8,0
Bronx,Ages 0-4 years,2016-05-17,7,0
Bronx,Ages 0-4 years,2016-05-18,10,0.581664054928533
Bronx,Ages 0-4 years,2016-05-19,11,0.7324638639556583
Bronx,Ages 0-4 years,2016-05-20,7,0
Bronx,Ages 0-4 years,2016-05-21,10,0
Bronx,Ages 0-4 years,2016-05-22,11,6.1603646117508015
Bronx,Ages 0-4 years,2016-05-23,13,0
Bronx,Ages 0-4 years,2016-05-24,12,2.110725659607401
Bronx,Ages 0-4 years,2016-05-25,2,0.7264135723151753
Bronx,Ages 0-4 years,2016-05-26,8,0
